Index,SCREEN_NAME,NATIONALITY,NAME
1,Ladaktusson,Sweden,ADAKTUSSON Lars
2,Isa_Adinolfi,Italy,ADINOLFI Isabella
3,marcoaffronte,Italy,AFFRONTE Marco
4,AgeaLaura,Italy,AGEA Laura
5,ClaraAguilera7,Spain,AGUILERA GARCÍA Clara Eugenia
6,DanielaAiuto,Italy,AIUTO Daniela
7,Tim_Aker,United Kingdom,AKER Tim
8,MarinaAlbiol,Spain,ALBIOL GUZMÁN Marina
9,JanAlbrecht,Germany,ALBRECHT Jan Philipp
10,louis_aliot,France,ALIOT Louis
11,MAlliotMarie,France,ALLIOT-MARIE Michèle
12,LucyAndersonMEP,United Kingdom,ANDERSON Lucy
13,M_AndersonSF,United Kingdom,ANDERSON Martina
14,MaxAndersson,Sweden,ANDERSSON Max
15,EricAndrieuEU,France,ANDRIEU Eric
16,Andrikiene,Lithuania,ANDRIKIENĖ Laima Liucija
17,androulakisnick,Greece,ANDROULAKIS Nikos
18,gannemans,Belgium,ANNEMANS Gerolf
19,Mariearenaps,Belgium,ARENA Maria
20,MCArnautu,France,ARNAUTU Marie-Christine
21,JonathanArnott,United Kingdom,ARNOTT Jonathan
22,JeanArthuis,France,ARTHUIS Jean
23,RichardAshMEP,United Kingdom,ASHWORTH Richard
24,Janice4Brexit,United Kingdom,ATKINSON Janice
25,MargreteAuken,Denmark,AUKEN Margrete
26,petras_petras,Lithuania,AUŠTREVIČIUS Petras
27,IAyalaSender,Spain,AYALA SENDER Inés
28,ayuso_pilar,Spain,AYUSO Pilar
29,BalasGuillaume,France,Balas Guillaume
30,balcytis,Lithuania,BALČYTIS Zigmantas
31,NBarekov,Bulgaria,BAREKOV Nikolay
32,AmjadBashirMEP,United Kingdom,BASHIR Amjad
33,GerardBattenMEP,United Kingdom,BATTEN Gerard
34,nicolasbayfn,France,BAY Nicolas
35,HuguesBayet,Belgium,BAYET Hugues
36,catherinemep,United Kingdom,BEARDER Catherine
37,beatrizbecerrab,Spain,BECERRA BASTERRECHEA Beatriz
38,beghin_t,Italy,BEGHIN Tiziana
39,BasBelderMEP,Netherlands,BELDER Bas
40,IvoBelet,Belgium,BELET Ivo
41,BendtEU,Denmark,BENDTSEN Bendt
42,brandobenifei,Italy,BENIFEI Brando
43,xabierbenito,Spain,BENITO ZILUAGA Xabier
44,PervencheBeres,France,BERÈS Pervenche
45,Jbergeronmep,France,BERGERON Joëlle
46,GoffredoBettini,Italy,BETTINI Goffredo Maria
47,IzaskunBilbaoB,Spain,BILBAO BARANDICA Izaskun
48,DominiqueBilde,France,BILDE Dominique
49,MalinBjork_EU,Sweden,BJÖRK Malin
50,pepeblancoEP,Spain,BLANCO LÓPEZ José
51,Franc_Bogovic,Slovenia,BOGOVIČ Franc
52,simonabonafe,Italy,BONAFÈ Simona
53,MichalBoni,Poland,BONI Michał
54,borrellidavid,Italy,BORRELLI David
55,BiljanaBorzan,Croatia,BORZAN Biljana
56,VictorBostinaru,Romania,BOŞTINARU Victor
